System,TTR,Yules,MTLD
None-Lungenkarzinom-187_548_de.txt,50.65,2733.02,93.99
None-Lungenkarzinom-236_510_de.txt,49.3,2536.25,75.85
None-Lungenkarzinom-279_518_de.txt,46.97,2204.36,108.72
None-Magenkarzinom-18_562_de.txt,47.72,2015.98,87.59
None-Magenkarzinom-2_570_de.txt,45.68,1250.31,70.88
None-Malignes_Melanom-114_531_de.txt,54.78,3199.39,172.29
None-Malignes_Melanom-125_518_de.txt,51.99,1782.81,175.11
None-Malignes_Melanom-126_550_de.txt,49.08,2024.35,95.2
None-Malignes_Melanom-45_529_de.txt,50.77,2241.03,89.3
None-Malignes_Melanom-97_581_de.txt,39.51,1315.04,89.84
None-Mammakarzinom-104_535_de.txt,42.91,1230.55,44.21
None-Mammakarzinom-134_535_de.txt,49.71,1987.86,78.4
None-Mammakarzinom-13_570_de.txt,56.23,3530.98,179.44
None-Mammakarzinom-180_614_de.txt,47.8,1264.29,58.32
None-Mammakarzinom-199_562_de.txt,56.58,2986.85,138.62
None-Mammakarzinom-214_559_de.txt,48.73,1967.78,71.66
None-Mammakarzinom-219_628_de.txt,49.35,2117.08,125.58
None-Mammakarzinom-24_531_de.txt,45.03,1268.69,105.2
None-Mammakarzinom-63_583_de.txt,44.01,1471.28,72.53
None-Mammakarzinom-82_624_de.txt,44.66,1642.99,81.41
None-Mundhöhlenkarzinom-8_536_de.txt,51.68,2146.22,129.32
None-Nierenzellkarzinom-118_557_de.txt,49.24,1847.97,72.23
None-Nierenzellkarzinom-60_522_de.txt,45.51,591.02,29.12
None-Nierenzellkarzinom-65_556_de.txt,48.26,2074.66,91.51
None-Palliativmedizin-110_511_de.txt,54.37,3339.68,151.5
None-Palliativmedizin-117_554_de.txt,50.74,2436.85,139.21
None-Palliativmedizin-167_597_de.txt,47.29,2241.32,81.55
None-Palliativmedizin-188_560_de.txt,50.9,3060.34,146.52
None-Palliativmedizin-20_610_de.txt,51.18,2643.48,116.29
None-Palliativmedizin-23_567_de.txt,47.73,1591.56,105.15
None-Palliativmedizin-43_520_de.txt,47.84,1927.98,87.32
None-Palliativmedizin-69_548_de.txt,46.82,1309.72,107.09
None-Palliativmedizin-81_581_de.txt,51.3,2116.37,148.18
None-Palliativmedizin-8_569_de.txt,53.2,3131.38,129.62
None-Pankreaskarzinom-72_512_de.txt,45.45,1322.49,65.59
None-Peniskarzinom-51_640_de.txt,50.08,2693.71,116.64
None-Prävention_Zervixkarzinom-51_539_de.txt,52.92,3183.91,167.52
None-Prostatakarzinom-40_531_de.txt,51.89,2637.95,130.18
None-Prostatakarzinom-54_528_de.txt,48.95,2321.5,85.04
None-Prostatakarzinom-5_556_de.txt,57.54,3381.06,164.17
None-Prostatakarzinom-75_526_de.txt,47.36,1699.97,78.64
None-Supportive_Therapie-460_527_de.txt,36.31,199.87,22.01
None-Zervixkarzinom-208_576_de.txt,49.91,1909.34,95.66
None-Zervixkarzinom-9_512_de.txt,54.13,3512.54,136.09
