System,TTR,Yules,MTLD
2020-Kremlkritiker-Nawalny-soll-in-Berlin-behandelt-werden_516_de.txt,53.25,2659.61,153.59
2020-Mysteriöser-Killer-rettet-eine-kriselnde-Beziehung_506_de.txt,56.76,3570.45,180.8
2020-RB-Leipzig-setzt-Bayern-München-unter-Druck_606_de.txt,60.17,4784.02,184.32
2020-Rocklegende-Eddie-Van-Halen-stirbt-im-Alter-von-65-Jahren_512_de.txt,57.06,3310.65,172.74
2020-Ryan-Reynolds-stirbt-in-«Free-Guy»-spektakulärste-Tode_540_de.txt,62.14,5553.36,251.44
2020-Wie-das-Coronavirus-die-Wirtschaft-beutelt_505_de.txt,53.64,2893.49,144.95
2020-«Das-Testresultat-ist-ein-Game-Changer»_532_de.txt,56.7,3561.63,162.05
2020-«Die-Feinde-Amerikas-sind-auf-der-Flucht»_604_de.txt,51.27,2244.72,113.67
2020-«DieTrauer-um-A.-R.-ist-unermesslich»_547_de.txt,52.33,2933.17,157.33
"2020-«Er-war-intelligent,-hatte-aber-bizarre-Wahnideen»_590_de.txt",53.9,2598.63,171.33
2020-«Es-gibt-in-der-Schweiz-starke-rechtsextreme-Gruppierungen»_569_de.txt,53.5,2586.78,163.82
2020-«Niemand-will-uns-testen-–-das-ist-ein-Witz!»_523_de.txt,54.1,2582.6,142.24
2020-«Stellen-Sie-nicht-Ihr-Leben-auf-den-Kopf»_554_de.txt,51.38,2426.47,136.93
2020-«Virus-führt-zu-einem-kollektiven-Misstrauen»_562_de.txt,47.74,1572.21,112.12
"2020-«Wenn-wir-gendern,-dann-richtig»_571_de.txt",51.62,2358.12,119.84
2020-«Wir-hatten-Angst-vor-genau-solch-einem-Eklat»_511_de.txt,51.58,2122.81,138.61
2021-Am-Tag-des-Terrors-lernten-sie-sich-in-der-kanadischen-Provinz-kennen-und-lieben_506_de.txt,57.2,2870.04,157.16
2021-Anya-Taylor-Joy-rüttelt-in-Thriller-über-Gewalt-an-Frauen-auf_570_de.txt,55.91,3304.28,167.07
2021-Biden-spricht-zum-ersten-Mal-an-UN-Generaldebatte-in-New-York_598_de.txt,57.14,4253.81,192.64
2021-Bund-fürchtet-Infrastruktur-Kollaps-bei-heftiger-Omikron-Welle_506_de.txt,56.54,3077.2,190.0
2021-Coop-holt-sich-das-neue-Cola-Zero-schon-jetzt-aus-Polen_598_de.txt,51.64,2923.51,154.24
2021-Darum-sind-Zoom-Meetings-so-anstrengend_543_de.txt,52.35,2455.55,153.69
"2021-Das-sind-die-Fakten,-Beteiligten-und-Hintergründe-des-Nahostkonflikts_513_de.txt",56.09,3094.08,153.46
2021-Diese-Hollywood-Youngsters-kommen-bald-ganz-gross-raus_554_de.txt,53.23,2942.32,163.77
2021-Diese-Spieler-sind-bisher-die-Entdeckungen-der-EM_533_de.txt,62.02,5119.97,231.02
2021-Drmic-und-Frey-treffen-schon-wieder-–-Xhaka-sieht-bei-Arsenal-Klatsche-Rot_596_de.txt,54.97,2581.3,223.95
2021-Dutzende-Schweizer-warten-auf-Rettung-aus-Covid-Hölle-Balkan_588_de.txt,52.18,2573.43,115.46
2021-Experte-rechnet-mit-grossem-Polizeiaufgebot-bei-Bundesrats-Auftritt_692_de.txt,48.68,2504.25,129.07
2021-Firmen-wollen-kaum-Gebrauch-machen-von-Homeoffice-Lockerungen_528_de.txt,57.8,4115.23,174.66
2021-Geruchssinn-ist-häufiger-bei-mildem-Covid-Verlauf-eingeschränkt_574_de.txt,55.14,3594.24,151.14
2021-Gianluca-Looser-(18)-ist-der-jüngste-Kantonsrat-der-Schweiz_561_de.txt,56.36,3376.67,183.02
2021-Jetzt-kommen-deutsche-Tanktouristen-in-die-Schweiz_509_de.txt,53.82,2530.8,128.81
"2021-Jetzt-warnen-Ärzte-vor-Adidas-,-Nike--und-On-Sneaker_591_de.txt",54.34,2973.26,172.34
"2021-Lissabon-riegelt-Stadt-wegen-Delta-Variante-ab,-Weltärzteverband-warnt_516_de.txt",58.65,3830.33,157.41
2021-Mit-dieser-Flasche-trickst-du-dein-Gehirn-aus_563_de.txt,51.36,2723.94,136.99
2021-Schafft-Loco-Escrito-heute-den-«Best-Hit»-Hattrick_575_de.txt,55.95,3077.7,162.48
2021-So-sehen-die-neuen-Formel-1-Boliden-ab-der-kommenden-Saison-aus_576_de.txt,55.3,3270.04,128.57
2021-Spitäler-kämpfen-mit-8000-Fr-Kopfgeld-und-auf-Social-Media-um-Personal_562_de.txt,53.54,3092.57,131.18
2021-Sturmjäger-wird-von-Blitz-getroffen-und-macht-trotzdem-weiter_589_de.txt,52.59,3601.43,163.1
2021-Was-spricht-für-oder-gegen-eine-dritte-Impfung_536_de.txt,56.17,3136.99,203.62
2021-Will-der-Bundesrat-mit-Zertifikats-Anpassungen-Gegner-beschwichtigen_531_de.txt,58.65,3593.09,170.91
"2021-«Auch-der-Captain-ist-ein-Mensch,-den-man-nicht-zur-Impfung-zwingen-kann»_577_de.txt",54.83,3258.92,177.66
2021-«Die-Empfehlung-muss-jetzt-kommen»_655_de.txt,52.09,2731.58,201.66
"2021-«Du-bist-doch-schwul,-du-weisst-es-einfach-noch-nicht»_502_de.txt",50.71,1946.43,142.0
2021-«Eine-Impfung-erst-in-einem-Jahr-Das-wäre-schrecklich»_589_de.txt,47.41,1923.81,113.98
2021-«Ich-habe-wegen-ihr-über-11’500-Franken-investiert-und-alles-verloren»_554_de.txt,54.88,2375.07,158.76
2021-«Oder-muss-es-zuerst-Tote-geben»_513_de.txt,56.72,2787.45,162.1
"2021-«Tat-liegt-nahe-bei-Mord»-–-Jeton-G.-muss-16,5-Jahre-ins-Gefängnis_550_de.txt",50.28,2653.22,123.22
"2021-«Wer-weiss,-wie-meine-Erkrankung-ohne-Impfung-verlaufen-wäre»_522_de.txt",53.37,2477.27,154.11
2021-«Wir-wollen-gegen-jeden-Gegner-gewinnen»_574_de.txt,49.11,1881.82,123.09
"2021-«Wir-wussten,-dass-wir-schuldig-sind»_504_de.txt",51.42,2704.22,133.08
"2022-ETH-Professor-fährt-68-Stunden,-um-seine-Mutter-aus-der-Ukraine-zu-retten_517_de.txt",56.46,2786.04,136.2
2022-EU-will-Atomkraft-als-«grün»-deklarieren-–-SVP-jubelt_505_de.txt,54.77,2796.32,150.13
"2022-Gefrorene-Augenbrauen,-Schutzanzüge-und-ganz-viel-Desinfektionsmittel_606_de.txt",55.25,2723.63,161.94
"2022-Weil-sich-Omikron-so-rasant-verbreitet,-steigt-Gefahr-für-neue-Virusvarianten_533_de.txt",59.04,4485.91,200.07
2022-«Der-Hund-hat-fast-ihren-Arm-und-ihr-Bein-abgerissen»_507_de.txt,53.82,2523.68,148.25
