System,TTR,Yules,MTLD
"2021-Das-sind-die-Fakten,-Beteiligten-und-Hintergründe-des-Nahostkonflikts_513_de.txt",36.45,800.57,80.57
2021-Diese-Hollywood-Youngsters-kommen-bald-ganz-gross-raus_554_de.txt,41.38,1236.83,116.58
2021-Diese-Spieler-sind-bisher-die-Entdeckungen-der-EM_533_de.txt,42.02,1530.59,89.97
2021-Drmic-und-Frey-treffen-schon-wieder-–-Xhaka-sieht-bei-Arsenal-Klatsche-Rot_596_de.txt,40.74,1563.37,120.7
2021-Dutzende-Schweizer-warten-auf-Rettung-aus-Covid-Hölle-Balkan_588_de.txt,25.51,410.58,92.0
2021-Experte-rechnet-mit-grossem-Polizeiaufgebot-bei-Bundesrats-Auftritt_692_de.txt,23.12,275.74,81.16
2021-Firmen-wollen-kaum-Gebrauch-machen-von-Homeoffice-Lockerungen_528_de.txt,24.62,392.84,87.29
2021-Geruchssinn-ist-häufiger-bei-mildem-Covid-Verlauf-eingeschränkt_574_de.txt,26.83,460.33,91.4
2021-Gianluca-Looser-(18)-ist-der-jüngste-Kantonsrat-der-Schweiz_561_de.txt,33.51,698.64,91.65
2021-Jetzt-kommen-deutsche-Tanktouristen-in-die-Schweiz_509_de.txt,25.34,391.18,84.72
"2021-Jetzt-warnen-Ärzte-vor-Adidas-,-Nike--und-On-Sneaker_591_de.txt",26.06,393.76,108.85
"2021-Lissabon-riegelt-Stadt-wegen-Delta-Variante-ab,-Weltärzteverband-warnt_516_de.txt",25.58,415.85,120.5
2021-Mit-dieser-Flasche-trickst-du-dein-Gehirn-aus_563_de.txt,26.11,406.34,102.62
2021-Schafft-Loco-Escrito-heute-den-«Best-Hit»-Hattrick_575_de.txt,26.61,571.51,140.53
2021-So-sehen-die-neuen-Formel-1-Boliden-ab-der-kommenden-Saison-aus_576_de.txt,30.38,541.56,80.71
2021-Spitäler-kämpfen-mit-8000-Fr-Kopfgeld-und-auf-Social-Media-um-Personal_562_de.txt,29.72,500.25,94.49
2021-Sturmjäger-wird-von-Blitz-getroffen-und-macht-trotzdem-weiter_589_de.txt,30.39,634.73,112.2
2021-Was-spricht-für-oder-gegen-eine-dritte-Impfung_536_de.txt,25.75,388.49,101.95
2021-Will-der-Bundesrat-mit-Zertifikats-Anpassungen-Gegner-beschwichtigen_531_de.txt,38.79,1336.57,95.11
"2021-«Auch-der-Captain-ist-ein-Mensch,-den-man-nicht-zur-Impfung-zwingen-kann»_577_de.txt",37.44,886.83,91.75
2021-«Die-Empfehlung-muss-jetzt-kommen»_655_de.txt,40.31,1299.57,74.09
"2021-«Du-bist-doch-schwul,-du-weisst-es-einfach-noch-nicht»_502_de.txt",42.6,1067.25,89.11
2021-«Eine-Impfung-erst-in-einem-Jahr-Das-wäre-schrecklich»_589_de.txt,28.86,709.2,117.71
2021-«Ich-habe-wegen-ihr-über-11’500-Franken-investiert-und-alles-verloren»_554_de.txt,33.39,658.55,96.13
2021-«Oder-muss-es-zuerst-Tote-geben»_513_de.txt,21.64,243.4,81.04
"2021-«Tat-liegt-nahe-bei-Mord»-–-Jeton-G.-muss-16,5-Jahre-ins-Gefängnis_550_de.txt",16.36,152.26,94.85
"2021-«Wer-weiss,-wie-meine-Erkrankung-ohne-Impfung-verlaufen-wäre»_522_de.txt",29.31,437.14,83.96
2021-«Wir-wollen-gegen-jeden-Gegner-gewinnen»_574_de.txt,36.7,953.26,70.38
"2021-«Wir-wussten,-dass-wir-schuldig-sind»_504_de.txt",28.57,392.43,56.0
"2022-ETH-Professor-fährt-68-Stunden,-um-seine-Mutter-aus-der-Ukraine-zu-retten_517_de.txt",30.75,600.21,97.06
2022-EU-will-Atomkraft-als-«grün»-deklarieren-–-SVP-jubelt_505_de.txt,34.65,647.46,73.34
"2022-Gefrorene-Augenbrauen,-Schutzanzüge-und-ganz-viel-Desinfektionsmittel_606_de.txt",46.99,1516.67,111.93
"2022-Weil-sich-Omikron-so-rasant-verbreitet,-steigt-Gefahr-für-neue-Virusvarianten_533_de.txt",27.39,416.25,82.83
2022-«Der-Hund-hat-fast-ihren-Arm-und-ihr-Bein-abgerissen»_507_de.txt,33.33,650.89,95.02
