System,TTR,Yules,MTLD
2013-europe-summit-nsa-surveillance_577_en.txt,25.31,443.0,94.54
2013-europe_566_en.txt,36.41,913.19,80.04
2013-football_541_en.txt,23.84,282.34,63.75
2013-football_705_en.txt,19.29,225.04,75.7
2013-g20-summit-spying_522_en.txt,19.54,196.52,85.09
2013-gaming-gadgets_614_en.txt,23.94,316.89,100.19
2013-greene-postal-service_518_en.txt,35.98,733.74,69.55
2013-innovation_518_en.txt,20.27,222.05,73.11
2013-iraq-war-hans-blix_595_en.txt,29.24,466.14,56.17
2013-japan-hashimoto-comfort-women_556_en.txt,36.33,1012.51,93.86
2013-justice_572_en.txt,20.45,242.15,92.79
2013-justice_634_en.txt,19.72,211.69,91.45
2013-justice_657_en.txt,22.68,333.25,90.67
2013-opinion-fowler-kidnap_599_en.txt,28.21,546.1,111.76
2013-opinion_520_en.txt,21.15,210.51,82.44
2013-pol-rubio-sotu-response_567_en.txt,23.1,279.77,68.26
2013-politics_572_en.txt,25.17,350.39,83.5
2013-romney-russia-detroit_562_en.txt,33.51,829.09,88.31
2013-shiffrin-maze-ligety-hirscher-skiing_622_en.txt,21.54,243.64,86.48
2013-sport_551_en.txt,27.55,478.11,107.28
2013-sri-lanka-commonwealth-cameron_541_en.txt,28.57,582.85,88.5
2013-supreme-court-poisoned-paramour_593_en.txt,20.4,289.81,116.97
2013-trachtenberg-grade-inflation_587_en.txt,28.38,682.92,129.92
2013-tsw-star-wars-comic_511_en.txt,22.7,312.42,102.82
2013-utah-same-sex-marriage-ruling_517_en.txt,40.74,1219.46,123.28
2014-bergen-sterman-terror-threat-report_614_en.txt,28.48,594.93,116.2
2014-blaser-antibiotic-winter_501_en.txt,33.93,712.0,94.03
2014-branding-nigeria-mastercard-backed-i-d-_558_en.txt,22.04,257.25,102.61
2014-business_635_en.txt,18.61,175.28,90.11
2014-china-xinjiang-princess-fragrant-cartoon_503_en.txt,25.35,331.33,96.3
2014-christie-scandals_624_en.txt,24.04,344.77,95.46
2014-clippers-who-is-steve-ballmer_597_en.txt,33.91,744.04,73.97
2014-davos-world-economic-forum-protests_590_en.txt,23.9,290.02,74.52
2014-diah-rahayu-surfing-bali_649_en.txt,29.3,630.67,93.76
2014-federal-marijuana-bill_517_en.txt,27.96,475.49,123.38
2014-georgia-alabama-stranded-buses-schoolchildren_536_en.txt,22.95,331.7,98.09
2014-gmail-privacy-problems_625_en.txt,17.44,176.43,85.24
2014-grammys-winners-list_519_en.txt,35.92,534.07,130.41
2014-hong-kong-protest-art_739_en.txt,18.4,202.25,87.43
2014-malayisa-airlines-flight-370-search_530_en.txt,22.83,316.84,88.2
2014-malaysia-airlines-stolen-passports_536_en.txt,19.22,243.72,116.68
2014-mideast-tensions-qa_570_en.txt,13.16,82.13,88.75
2014-new-york-medical-marijuana_563_en.txt,15.63,127.43,74.33
2014-new-york-uber-sharing_507_en.txt,39.21,1112.17,86.91
2014-north-korea-provocation_571_en.txt,25.22,424.83,110.06
2014-opinion_501_en.txt,23.95,285.32,78.02
2014-philippines-stevens-manila-to-tacloban_531_en.txt,35.05,601.24,64.34
2014-progressives-congress-battle_538_en.txt,23.61,299.18,72.7
2014-republicans-2016_506_en.txt,19.17,190.81,85.39
2014-siniora-isis-strategy_526_en.txt,31.49,621.43,94.92
2014-sudan-apostasy-appeal_543_en.txt,12.71,71.1,72.33
2014-syria-torture-photos_510_en.txt,37.4,943.54,94.97
2014-turkey-mevlevi-dervishes_573_en.txt,28.72,312.27,46.81
2014-ukraine-crisis_524_en.txt,24.05,362.8,90.8
2014-weare-citizenship-birthright-samoa_505_en.txt,22.42,229.86,52.36
2014-west-virginia-school-controversy_555_en.txt,18.56,197.12,92.12
2015-australia-tony-abbott-confidence-vote_580_en.txt,30.1,679.75,88.5
2015-johannesburg-gourmet-food-markets_541_en.txt,28.62,449.68,100.3
2015-yemen-unrest_590_en.txt,17.8,173.43,96.14
