System,TTR,Yules,MTLD
2012-zuckerberg-instagram-deal_567_en.txt,51.62,2236.09,117.81
2013-07-web_536_en.txt,51.53,2099.25,127.48
2013-americas_509_en.txt,50.1,1920.94,92.65
2013-americas_631_en.txt,45.57,1857.79,119.2
2013-appeals-court-live-online_516_en.txt,50.69,2017.11,104.57
2013-atp-world-tour-finals-federer-tennis_598_en.txt,44.85,1428.41,79.94
2013-begala-government-shutdown_615_en.txt,50.99,2487.26,93.88
2013-comet-ison-dead-or-alive_513_en.txt,48.61,2033.33,108.13
2013-edward-snowden-manifesto_558_en.txt,48.51,1886.49,88.33
2013-europe-summit-nsa-surveillance_577_en.txt,49.73,2351.2,136.24
2013-europe_566_en.txt,45.82,1539.86,73.64
2013-football_541_en.txt,52.12,2505.66,106.03
2013-football_705_en.txt,49.85,2487.29,134.21
2013-g20-summit-spying_522_en.txt,52.75,2328.97,137.48
2013-gaming-gadgets_614_en.txt,53.16,2740.9,118.79
2013-greene-postal-service_518_en.txt,49.8,2141.5,99.79
2013-innovation_518_en.txt,52.17,2622.12,145.07
2013-iraq-war-hans-blix_595_en.txt,49.31,2122.37,91.87
2013-japan-hashimoto-comfort-women_556_en.txt,53.59,3113.27,142.04
2013-justice_572_en.txt,45.85,1442.67,76.68
2013-justice_634_en.txt,44.97,1673.48,94.04
2013-justice_657_en.txt,44.24,1438.23,89.7
2013-opinion-fowler-kidnap_599_en.txt,56.08,2735.09,150.42
2013-opinion_520_en.txt,49.61,2173.31,100.5
2013-pol-rubio-sotu-response_567_en.txt,51.37,2160.39,112.42
2013-politics_572_en.txt,52.15,2445.31,124.53
2013-romney-russia-detroit_562_en.txt,53.28,2694.82,100.29
2013-shiffrin-maze-ligety-hirscher-skiing_622_en.txt,44.06,1593.05,117.86
2013-sport_551_en.txt,52.04,2848.84,131.12
2013-sri-lanka-commonwealth-cameron_541_en.txt,50.09,2139.88,111.61
2013-supreme-court-poisoned-paramour_593_en.txt,55.15,3113.96,145.47
2013-trachtenberg-grade-inflation_587_en.txt,53.46,2812.4,85.34
2013-tsw-star-wars-comic_511_en.txt,47.31,1881.08,79.15
2013-utah-same-sex-marriage-ruling_517_en.txt,48.92,1955.61,112.38
2014-bergen-sterman-terror-threat-report_614_en.txt,50.67,2378.18,118.36
2014-blaser-antibiotic-winter_501_en.txt,54.05,3024.57,104.75
2014-branding-nigeria-mastercard-backed-i-d-_558_en.txt,51.28,2436.3,113.02
2014-business_635_en.txt,50.65,2304.61,148.13
2014-china-xinjiang-princess-fragrant-cartoon_503_en.txt,52.46,2114.06,113.01
2014-christie-scandals_624_en.txt,46.79,2197.11,118.97
2014-clippers-who-is-steve-ballmer_597_en.txt,48.51,1856.05,85.96
2014-davos-world-economic-forum-protests_590_en.txt,51.13,2061.44,130.53
2014-diah-rahayu-surfing-bali_649_en.txt,46.19,1777.89,114.83
2014-federal-marijuana-bill_517_en.txt,53.66,2630.41,129.2
2014-georgia-alabama-stranded-buses-schoolchildren_536_en.txt,53.83,2748.38,135.04
2014-gmail-privacy-problems_625_en.txt,49.18,2596.76,124.07
2014-grammys-winners-list_519_en.txt,47.28,398.99,185.77
2014-hong-kong-protest-art_739_en.txt,51.68,2512.66,156.95
2014-malayisa-airlines-flight-370-search_530_en.txt,50.29,1786.92,115.22
2014-malaysia-airlines-stolen-passports_536_en.txt,48.27,2010.88,103.67
2014-mideast-tensions-qa_570_en.txt,50.45,2132.58,117.25
2014-new-york-medical-marijuana_563_en.txt,48.64,2185.09,107.14
2014-new-york-uber-sharing_507_en.txt,53.12,2057.75,139.49
2014-north-korea-provocation_571_en.txt,54.2,2768.67,114.96
2014-opinion_501_en.txt,51.94,2341.78,113.21
2014-philippines-stevens-manila-to-tacloban_531_en.txt,50.78,2469.21,102.78
2014-progressives-congress-battle_538_en.txt,55.81,2980.87,140.77
2014-republicans-2016_506_en.txt,52.24,2497.56,111.03
2014-siniora-isis-strategy_526_en.txt,51.16,2021.35,96.64
2014-sudan-apostasy-appeal_543_en.txt,47.52,1886.25,93.59
2014-syria-torture-photos_510_en.txt,53.23,2345.09,123.57
2014-turkey-mevlevi-dervishes_573_en.txt,50.63,1487.54,95.83
2014-ukraine-crisis_524_en.txt,50.69,2092.55,102.23
2014-weare-citizenship-birthright-samoa_505_en.txt,47.78,1558.09,66.34
2014-west-virginia-school-controversy_555_en.txt,47.25,1877.16,88.21
2015-australia-tony-abbott-confidence-vote_580_en.txt,51.23,2247.97,107.29
2015-johannesburg-gourmet-food-markets_541_en.txt,56.62,2760.95,125.94
2015-yemen-unrest_590_en.txt,49.04,1980.3,104.14
